Time (ms)
35.024
33.258
36.674
37.83
35.367
36.957
37.094
34.993
34.774
33.49
34.217
35.315
36.298
36.656
36.692
36.639
36.336
37.595
36.1
34.63
40.133
34.463
34.312
33.648
35.373
36.883
34.146
39.152
34.149
34.344
34.086
34.661
38.112
34.99
35.395
34.618
33.011
32.801
34.099
33.73
35.734
34.463
33.534
34.848
33.903
35.214
36.591
34.257
35.68
39.26
34.534
34.99
34.265
34.454
35.45
35.803
36.455
36.38
36.17
39.676
33.593
33.076
33.776
35.026
35.36
34.652
33.93
35.137
34.488
34.961
38.278
36.342
36.866
33.009
33.441
33.461
35.163
37.293
33.543
34.365
34.5
35.563
37.22
38.592
38.378
36.877
37.902
35.12
37.976
35.155
35.467
33.963
34.636
35.005
35.272
35.915
35.609
36.322
34.303
34.794
