Random Seed: 1531399603
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
18, 0.58668,0.00511249,0.583,0.585,0.586,0.587,0.625
19, 1.25967,0.00581731,1.249,1.256,1.259,1.262,1.295
20, 2.45344,0.00829013,2.443,2.449,2.452,2.455,2.495
21, 4.75037,0.0110097,4.73,4.742,4.749,4.757,4.805
22, 9.22294,0.016633,9.18,9.211,9.22,9.233,9.266
23, 18.1194,0.0208329,18.081,18.103,18.119,18.135,18.186
24, 36.3098,0.0478176,36.169,36.288,36.315,36.337,36.424

Passed all 4 test cases (no assertions).

############ QEngineOCLMulti ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 2.56689,0.501005,1.484,2.297,2.539,2.903,4.004
4, 3.34971,0.779157,1.262,2.555,3.365,3.899,5.157
5, 6.43232,1.19319,3.721,5.813,6.34,7.166,9.187
6, 10.4827,1.66789,6.782,9.401,10.399,11.469,14.709
7, 11.7856,1.93134,7.549,10.365,11.68,12.986,16.811
8, 10.4617,1.56359,5.97,9.44,10.498,11.465,16.036
9, 11.5052,2.287,6.905,9.772,11.108,13.356,17.775
10, 10.731,1.56433,7.618,9.564,10.48,11.92,14.366
11, 11.8701,2.15886,7.495,10.088,11.685,13.752,17.019
12, 11.0053,1.6659,7.644,9.832,10.621,12.176,16.113
13, 11.9929,1.93873,7.806,10.561,11.55,13.832,16.107
14, 11.3927,1.72058,8.32,10.156,11.38,12.398,16.732
15, 12.3947,1.84606,8.545,10.997,12.476,13.644,16.696
16, 12.8301,1.58131,9.021,11.7,12.877,14.004,16.794
17, 16.4811,1.90186,11.439,15.049,16.548,17.773,20.491
18, 23.2369,3.53114,12.467,22.245,24.086,25.34,30.455
19, 38.562,7.56294,8.83,38.534,40.793,42.568,46.598
20, 58.1308,22.6627,11.177,41.384,62.959,78.181,89.96
21, 124.983,26.1889,49.524,107.347,125.467,143.757,167.55
22, 284.218,27.9518,220.426,266.182,284.23,303.197,376.704
23, 615.722,48.4653,517.329,576.853,607.341,662.821,713.771
24, 1396.44,52.2981,1280.89,1354.55,1409.75,1432.01,1540.27

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.93813,0.126605,0.07,0.887,0.908,0.996,1.618
4, 0.94577,0.0806989,0.868,0.886,0.917,0.994,1.478
5, 0.94421,0.0836424,0.829,0.885,0.898,1,1.475
6, 0.95941,0.128802,0.067,0.898,0.952,1.009,1.528
7, 0.93391,0.0909665,0.751,0.881,0.894,0.979,1.516
8, 0.9264,0.119789,0.067,0.88,0.894,0.979,1.418
9, 0.91759,0.134111,0.069,0.879,0.89,0.942,1.746
10, 0.92419,0.154523,0.07,0.888,0.899,0.991,1.651
11, 0.92847,0.0889834,0.746,0.895,0.904,0.916,1.658
12, 0.97046,0.204971,0.06,0.923,1.012,1.033,1.703
13, 1.07266,0.087511,0.921,1.046,1.062,1.093,1.706
