Random Seed: 1531369427
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.91788,0.146098,0.078,0.877,0.892,0.946,1.708
4, 0.90603,0.116508,0.071,0.874,0.888,0.908,1.438
5, 0.9124,0.145439,0.059,0.878,0.894,0.969,1.407
6, 0.92647,0.122622,0.073,0.879,0.895,0.998,1.451
7, 0.91949,0.0785974,0.83,0.873,0.889,0.956,1.432
8, 0.92382,0.0762777,0.859,0.879,0.89,0.968,1.44
9, 0.90463,0.174445,0.072,0.878,0.894,0.949,1.615
10, 0.91831,0.180544,0.07,0.894,0.904,0.924,1.919
11, 0.95818,0.107607,0.829,0.898,0.908,1.011,1.735
12, 0.943,0.129557,0.083,0.902,0.916,0.987,1.705
13, 1.03952,0.127396,0.067,1.029,1.041,1.056,1.698
14, 1.06735,0.142906,0.062,1.048,1.083,1.108,1.718
15, 1.13574,0.180066,0.075,1.125,1.141,1.155,1.832
16, 1.31794,0.110755,0.98,1.271,1.288,1.339,2.001
17, 1.57922,0.187226,0.072,1.546,1.581,1.596,2.354
18, 2.86225,0.165219,2.701,2.754,2.805,2.883,3.448
19, 4.45666,0.349658,3.456,4.187,4.35,4.487,5.368
20, 7.5725,0.362189,7.23,7.29,7.596,7.644,9.964
21, 14.1569,0.594102,12.658,13.69,14.219,14.326,17.148
22, 28.6257,2.55697,26.524,27.357,28.204,28.535,44.656
23, 81.4904,4.27342,63.738,79.179,81.198,84.273,89.316
24, 173.59,6.17158,153.046,169.452,171.795,176.848,196.93

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 8.59469,0.133453,8.322,8.534,8.596,8.64,9.588
4, 14.5488,0.226591,14.033,14.396,14.579,14.678,15.475
5, 33.9274,0.607334,32.941,33.448,33.748,34.217,35.818
6, 48.5164,2.63536,45.944,46.797,47.006,52.247,53.477
7, 70.7665,0.408015,69.375,70.522,70.737,70.991,71.918
8, 101.361,0.344597,100.601,101.152,101.317,101.598,102.169
9, 142.007,0.575272,141.256,141.65,141.943,142.183,144.996
10, 213.296,0.465947,212.072,212.945,213.274,213.651,214.475
11, 304.05,11.5966,281.098,302.863,309.683,312.073,313.526
12, 434.776,17.6367,415.258,420.046,424.289,454.724,461.541
13, 655.276,17.9352,631.561,635.425,667.26,672.016,675.945
14, 1143.81,23.2708,1093.33,1131.24,1139.11,1167.77,1176.41
