"# of Qubits", "Average Time (ms)", "Sample Std. Deviation (ms)", "Fastest (ms)", "1st Quartile (ms)", "Median (ms)", "3rd Quartile (ms)", "Slowest (ms)","Type"
13,0.58575,1.24561,0.449,0.456,0.458,0.461,12.979,QUnit (OCL)
14,0.74449,2.10282,0.519,0.525,0.53,0.541,21.667,QUnit (OCL)
15,1.13902,4.52381,0.657,0.662,0.666,0.693,46.145,QUnit (OCL)
16,2.43905,9.02264,1.5,1.523,1.532,1.54,92.213,QUnit (OCL)
17,4.20626,19.7089,2.195,2.208,2.219,2.231,200.307,QUnit (OCL)
18,8.14385,43.0883,3.764,3.784,3.825,3.836,436.867,QUnit (OCL)
19,15.384,82.5202,7.044,7.067,7.078,7.09,836.449,QUnit (OCL)
20,32.3331,176.987,14.012,14.098,14.126,14.161,1793.3,QUnit (OCL)
21,72.4538,374.366,34.486,34.755,34.848,34.902,3797.35,QUnit (OCL)
22,145.657,776.362,66.818,67.448,67.585,67.676,7870.36,QUnit (OCL)
23,303.433,1697.13,132.114,132.26,133.086,133.246,17189.6,QUnit (OCL)
24,618.656,3566.27,257.339,259.047,260.625,261.318,36102.6,QUnit (OCL)
