# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
12,0.10195,0.110048,0.087,0.088,0.089,0.09,1.192,QUnit (CPU)
13,0.10338,0.107648,0.088,0.089,0.09,0.092,1.169,QUnit (CPU)
14,0.11364,0.0647251,0.102,0.105,0.107,0.108,0.756,QUnit (CPU)
15,0.11274,0.0531491,0.103,0.104,0.105,0.106,0.635,QUnit (CPU)
16,0.13667,0.111484,0.121,0.123,0.123,0.125,1.242,QUnit (CPU)
17,0.13143,0.0516729,0.121,0.123,0.124,0.125,0.631,QUnit (CPU)
18,0.14684,0.0579725,0.136,0.138,0.139,0.14,0.711,QUnit (CPU)
19,0.14455,0.0573291,0.135,0.137,0.138,0.14,0.714,QUnit (CPU)
20,0.16994,0.09811,0.145,0.152,0.153,0.156,0.918,QUnit (CPU)
21,0.16228,0.0815327,0.146,0.151,0.152,0.154,0.969,QUnit (CPU)
22,0.17851,0.0708241,0.164,0.168,0.169,0.171,0.877,QUnit (CPU)
23,0.17846,0.0867121,0.164,0.167,0.169,0.171,1.04,QUnit (CPU)
24,0.19653,0.0975663,0.18,0.184,0.185,0.186,1.163,QUnit (CPU)
3,0.03591,0.0394299,0.03,0.031,0.031,0.032,0.427,QUnit (OCL)
4,0.07103,0.0879114,0.059,0.061,0.062,0.062,0.945,QUnit (OCL)
5,0.07518,0.125558,0.06,0.061,0.062,0.062,1.323,QUnit (OCL)
6,0.11205,0.176709,0.09,0.092,0.092,0.093,1.868,QUnit (OCL)
7,0.11255,0.185728,0.09,0.092,0.093,0.093,1.959,QUnit (OCL)
8,0.14857,0.248464,0.12,0.122,0.122,0.123,2.62,QUnit (OCL)
9,0.1512,0.255947,0.122,0.123,0.124,0.125,2.697,QUnit (OCL)
10,0.18508,0.285811,0.153,0.154,0.155,0.155,3.028,QUnit (OCL)
11,0.18694,0.301026,0.153,0.154,0.155,0.156,3.181,QUnit (OCL)
12,0.22205,0.343014,0.183,0.185,0.186,0.186,3.634,QUnit (OCL)
13,0.22365,0.362841,0.183,0.185,0.185,0.186,3.833,QUnit (OCL)
14,0.26015,0.410543,0.214,0.216,0.216,0.217,4.344,QUnit (OCL)
15,0.26096,0.413914,0.214,0.216,0.216,0.217,4.378,QUnit (OCL)
16,0.29915,0.485614,0.244,0.247,0.248,0.249,5.13,QUnit (OCL)
17,0.29856,0.49248,0.244,0.246,0.247,0.248,5.198,QUnit (OCL)
18,0.33534,0.548182,0.275,0.277,0.278,0.279,5.789,QUnit (OCL)
19,0.33649,0.556085,0.276,0.278,0.279,0.28,5.869,QUnit (OCL)
20,0.3738,0.615789,0.306,0.308,0.309,0.31,6.5,QUnit (OCL)
21,0.36496,0.52141,0.307,0.308,0.31,0.31,5.552,QUnit (OCL)
22,0.41034,0.670582,0.337,0.339,0.34,0.343,7.082,QUnit (OCL)
23,0.40444,0.598848,0.339,0.341,0.342,0.343,6.362,QUnit (OCL)
24,0.44511,0.691369,0.369,0.37,0.371,0.374,7.323,QUnit (OCL)
3,0.12075,0.5983,0.051,0.052,0.053,0.061,6.071,QUnit (Multi)
4,0.22796,1.14683,0.102,0.104,0.105,0.107,11.637,QUnit (Multi)
5,0.2309,1.14572,0.102,0.105,0.107,0.109,11.628,QUnit (Multi)
6,0.33485,1.68268,0.157,0.159,0.16,0.161,17.076,QUnit (Multi)
7,0.33324,1.68796,0.156,0.158,0.159,0.16,17.127,QUnit (Multi)
8,0.44839,2.24902,0.21,0.213,0.214,0.216,22.824,QUnit (Multi)
9,0.44803,2.2169,0.21,0.213,0.214,0.216,22.503,QUnit (Multi)
10,0.56362,2.80848,0.263,0.266,0.267,0.268,28.503,QUnit (Multi)
11,0.5667,2.85073,0.263,0.266,0.267,0.269,28.928,QUnit (Multi)
12,0.68136,3.38034,0.315,0.32,0.321,0.332,34.311,QUnit (Multi)
13,0.69121,3.37796,0.317,0.323,0.326,0.332,34.295,QUnit (Multi)
14,0.83915,4.51609,0.368,0.372,0.374,0.379,45.772,QUnit (Multi)
15,0.77708,3.80056,0.376,0.379,0.381,0.384,38.589,QUnit (Multi)
16,0.88974,4.28982,0.427,0.433,0.436,0.442,43.566,QUnit (Multi)
17,0.90894,4.44129,0.43,0.435,0.438,0.448,45.094,QUnit (Multi)
18,0.98669,4.79772,0.484,0.489,0.492,0.495,48.72,QUnit (Multi)
19,0.99315,4.79472,0.484,0.489,0.491,0.496,48.695,QUnit (Multi)
20,1.0942,5.25392,0.527,0.533,0.537,0.547,53.364,QUnit (Multi)
21,1.11698,5.41556,0.527,0.538,0.542,0.557,54.995,QUnit (Multi)
22,1.19349,5.77199,0.584,0.593,0.597,0.607,58.62,QUnit (Multi)
23,1.20835,5.89471,0.592,0.598,0.602,0.607,59.857,QUnit (Multi)
24,1.31739,6.46044,0.636,0.644,0.647,0.653,65.593,QUnit (Multi)
