Random Seed: 1531837821
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
5, 22.3093,0.381788,22.015,22.166,22.215,22.292,24.074
6, 32.6406,0.180484,32.411,32.532,32.625,32.707,34.061
7, 42.0742,0.185587,41.764,41.972,42.061,42.133,43.504
8, 57.5139,0.216394,57.151,57.39,57.512,57.581,59.105
9, 77.0939,0.229556,76.777,76.971,77.063,77.172,78.525
10, 108.706,0.786482,107.697,107.983,108.262,109.472,110.445
11, 156.212,0.275808,155.756,156.067,156.197,156.319,158.127
12, 201.465,2.74922,200.406,200.763,200.881,201.087,222.282
13, 278.577,1.79392,276.862,277.662,278.421,278.949,293.575
14, 408.21,2.17207,404.255,407.86,408.683,409.089,421.544
15, 686.494,1.60067,683.595,685.396,686.28,687.419,694.174
16, 1408.21,1.6319,1405.64,1407.24,1408.04,1408.73,1415.49

Passed all 5 test cases with 1400 assertions.

############ QUnit -> QEngine -> OpenCL Multi ############
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03889,0.152428,0.021,0.021,0.022,0.022,1.551
4, 0.07842,0.279647,0.04,0.042,0.045,0.05,2.854
5, 0.07891,0.27729,0.04,0.041,0.049,0.05,2.83
6, 0.116,0.410433,0.06,0.062,0.073,0.075,4.194
7, 0.11562,0.409776,0.059,0.061,0.073,0.074,4.187
8, 0.15456,0.54453,0.08,0.085,0.098,0.099,5.568
9, 0.15249,0.547948,0.079,0.081,0.097,0.099,5.599
10, 0.1952,0.679386,0.1,0.12,0.122,0.123,6.949
11, 0.19284,0.677234,0.099,0.113,0.121,0.123,6.926
12, 0.22914,0.817794,0.117,0.14,0.144,0.147,8.362
13, 0.22469,0.820479,0.117,0.131,0.132,0.134,8.382
14, 0.25923,0.976643,0.134,0.151,0.153,0.155,9.972
15, 0.2527,0.942817,0.134,0.137,0.152,0.154,9.629
16, 0.2938,1.08412,0.153,0.173,0.174,0.176,11.076
17, 0.29837,1.08738,0.152,0.175,0.176,0.179,11.112
18, 0.33109,1.21304,0.172,0.194,0.197,0.202,12.395
19, 0.34469,1.27223,0.184,0.207,0.208,0.213,13
20, 0.38065,1.38118,0.201,0.228,0.23,0.247,14.119
21, 0.38748,1.39943,0.203,0.221,0.226,0.251,14.306
22, 0.42993,1.48225,0.219,0.265,0.267,0.286,15.172
23, 0.43049,1.49416,0.22,0.266,0.268,0.279,15.291
24, 0.47099,1.61768,0.242,0.29,0.292,0.319,16.561
25, 0.46913,1.62509,0.238,0.289,0.292,0.328,16.633
26, 0.5133,1.76192,0.263,0.313,0.316,0.361,18.039
27, 0.51251,1.76801,0.258,0.313,0.315,0.357,18.099
28, 0.55763,1.91344,0.282,0.34,0.345,0.395,19.591

>>> 'test_x_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.11372,0.0194273,0.11,0.111,0.111,0.112,0.306
4, 0.15079,0.0198808,0.146,0.148,0.148,0.149,0.347
5, 0.1884,0.0217913,0.184,0.185,0.186,0.187,0.404
6, 0.22674,0.026054,0.222,0.223,0.224,0.225,0.485
7, 0.261,0.0262351,0.25,0.254,0.26,0.262,0.517
8, 0.29296,0.027506,0.286,0.288,0.29,0.291,0.565
9, 0.33126,0.0295522,0.323,0.326,0.327,0.328,0.622
10, 0.36709,0.031385,0.361,0.363,0.363,0.364,0.678
11, 0.40362,0.0357594,0.396,0.399,0.399,0.4,0.758
12, 0.40884,0.0342198,0.402,0.404,0.404,0.405,0.747
13, 0.4435,0.0360515,0.436,0.438,0.439,0.44,0.801
14, 0.47957,0.0411406,0.472,0.474,0.475,0.476,0.888
15, 0.4973,0.0472446,0.478,0.481,0.482,0.512,0.938
16, 0.51854,0.0465406,0.505,0.511,0.512,0.514,0.979
17, 0.55039,0.0493449,0.536,0.542,0.545,0.546,1.035
18, 0.54697,0.0502363,0.532,0.536,0.537,0.539,1.032
19, 0.5724,0.0470738,0.562,0.566,0.567,0.568,1.039
20, 0.60343,0.065883,0.553,0.593,0.595,0.597,1.092
21, 0.58879,0.0538816,0.577,0.581,0.582,0.585,1.123
22, 0.61705,0.0561641,0.605,0.609,0.61,0.613,1.174
23, 0.62408,0.0697941,0.601,0.605,0.607,0.617,1.218
24, 0.63814,0.0652234,0.626,0.628,0.63,0.632,1.285
25, 0.65045,0.0818021,0.612,0.616,0.653,0.655,1.343
26, 0.65075,0.0728307,0.637,0.64,0.642,0.645,1.373
27, 0.67633,0.0797292,0.662,0.665,0.666,0.67,1.468
28, 0.70067,0.0779128,0.685,0.689,0.691,0.693,1.473

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03797,0.15242,0.02,0.02,0.021,0.021,1.551
4, 0.03615,0.146856,0.02,0.02,0.021,0.021,1.497
5, 0.03806,0.148241,0.02,0.02,0.021,0.022,1.509
6, 0.03749,0.143983,0.02,0.02,0.021,0.021,1.464
7, 0.03641,0.146708,0.02,0.02,0.021,0.021,1.495
8, 0.03688,0.146162,0.02,0.02,0.021,0.021,1.487
9, 0.03807,0.144908,0.02,0.02,0.021,0.024,1.474
10, 0.03999,0.144855,0.02,0.02,0.021,0.025,1.472
11, 0.03839,0.145417,0.02,0.02,0.021,0.021,1.474
12, 0.03763,0.151954,0.02,0.02,0.021,0.021,1.547
13, 0.03935,0.145842,0.02,0.02,0.021,0.021,1.478
14, 0.03799,0.145437,0.02,0.02,0.021,0.021,1.477
15, 0.03747,0.14662,0.02,0.02,0.02,0.021,1.491
16, 0.03747,0.146198,0.02,0.02,0.02,0.021,1.484
17, 0.03771,0.145953,0.02,0.02,0.02,0.021,1.483
18, 0.03668,0.147269,0.02,0.02,0.02,0.021,1.497
19, 0.03778,0.146419,0.02,0.02,0.021,0.021,1.487
20, 0.03744,0.146333,0.02,0.02,0.02,0.021,1.489
21, 0.03682,0.151148,0.019,0.02,0.02,0.021,1.539
22, 0.0369,0.146084,0.019,0.02,0.02,0.021,1.487
23, 0.03773,0.14923,0.019,0.02,0.02,0.021,1.517
24, 0.03853,0.151021,0.02,0.02,0.021,0.023,1.536
25, 0.03818,0.150186,0.019,0.02,0.02,0.021,1.524
26, 0.03598,0.149879,0.019,0.02,0.02,0.021,1.527
27, 0.03711,0.149699,0.019,0.02,0.02,0.021,1.521
28, 0.03818,0.149391,0.019,0.02,0.02,0.021,1.517

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.02574,0.0154017,0.023,0.024,0.024,0.024,0.177
4, 0.02601,0.0142615,0.022,0.024,0.024,0.025,0.166
5, 0.02576,0.0143973,0.023,0.024,0.024,0.025,0.168
6, 0.02584,0.0142777,0.023,0.024,0.024,0.025,0.167
7, 0.02591,0.0143563,0.023,0.024,0.024,0.025,0.167
8, 0.02577,0.0145065,0.023,0.024,0.024,0.025,0.17
9, 0.02592,0.0144697,0.023,0.024,0.024,0.025,0.168
10, 0.02562,0.0142301,0.023,0.024,0.024,0.025,0.167
11, 0.02586,0.0145307,0.023,0.024,0.024,0.025,0.168
12, 0.02576,0.0144133,0.023,0.024,0.024,0.025,0.169
13, 0.0262,0.018082,0.023,0.024,0.024,0.025,0.206
14, 0.02602,0.0150718,0.022,0.024,0.024,0.025,0.172
15, 0.02615,0.0147719,0.023,0.024,0.024,0.025,0.169
16, 0.02615,0.01478,0.023,0.024,0.024,0.025,0.169
17, 0.0259,0.0144641,0.021,0.024,0.024,0.025,0.169
18, 0.02587,0.0146742,0.023,0.024,0.024,0.025,0.17
19, 0.02602,0.0145251,0.023,0.024,0.024,0.025,0.168
20, 0.02586,0.0143979,0.023,0.024,0.024,0.025,0.169
21, 0.02599,0.0148078,0.023,0.024,0.024,0.025,0.17
22, 0.02589,0.0162043,0.023,0.024,0.024,0.025,0.187
23, 0.02588,0.0147819,0.023,0.024,0.024,0.025,0.17
24, 0.02571,0.0152193,0.023,0.024,0.024,0.025,0.177
25, 0.02608,0.0147483,0.023,0.024,0.024,0.025,0.171
26, 0.026,0.0150566,0.023,0.024,0.024,0.025,0.174
27, 0.02611,0.0152695,0.023,0.024,0.024,0.025,0.174
28, 0.02618,0.0153899,0.023,0.024,0.024,0.025,0.175

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 17.2771,0.473852,15.914,17.268,17.429,17.526,17.88
4, 26.8267,0.639492,25.56,26.047,27.108,27.252,28.606
5, 38.6328,0.760051,36.92,37.806,39.007,39.255,39.584
6, 51.2292,0.856038,48.616,50.611,50.908,52.118,52.729
7, 65.0278,0.663838,63.549,64.531,64.828,65.688,66.469
8, 85.4404,1.12862,81.98,84.62,85.192,86.297,87.849
9, 109.143,0.630834,107.353,108.821,109.098,109.296,111.081
10, 145.194,0.668415,143.387,144.844,145.16,145.445,147.915
11, 197.013,0.621626,195.588,196.683,197.092,197.408,198.326
12, 246.906,3.93219,242.827,245.626,246.291,246.823,267.421
13, 330.309,2.27716,326.331,328.925,329.923,331.235,342.979
14, 465.502,2.57044,460.404,463.588,465.733,467.383,477.252
15, 757.303,1.50285,754.461,756.079,757.189,758.15,762.257
16, 1488.97,5.26768,1478.08,1483.24,1491,1492.76,1500.76

Passed all 5 test cases with 1400 assertions.

