Random Seed: 1531837821
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
6, 0.05536,0.309113,0.023,0.024,0.024,0.025,3.131
7, 0.0554,0.308712,0.023,0.024,0.024,0.024,3.127
8, 0.08673,0.619939,0.024,0.024,0.024,0.024,6.255
9, 0.0869,0.62243,0.024,0.024,0.024,0.025,6.28
10, 0.08756,0.620054,0.024,0.025,0.025,0.025,6.257
11, 0.08761,0.62035,0.024,0.025,0.025,0.025,6.26
12, 0.0624,0.359462,0.025,0.026,0.026,0.027,3.639
13, 0.03037,0.0226105,0.027,0.028,0.028,0.028,0.254
14, 0.03699,0.0226678,0.031,0.034,0.034,0.035,0.261
15, 0.04921,0.022346,0.032,0.047,0.047,0.047,0.27
16, 0.07571,0.0219565,0.072,0.073,0.073,0.074,0.294
17, 0.12651,0.0209124,0.123,0.124,0.124,0.125,0.334
18, 0.2324,0.0192697,0.22,0.23,0.23,0.231,0.423
19, 0.59117,0.00474986,0.575,0.589,0.591,0.592,0.622
20, 1.11171,0.0179529,0.943,1.11,1.113,1.116,1.152
21, 2.08143,0.0460027,1.63,2.083,2.086,2.09,2.114
22, 3.91738,0.0888364,3.044,3.917,3.924,3.936,3.962
23, 7.40299,0.14379,5.981,7.405,7.417,7.426,7.473
24, 14.7034,0.289877,11.837,14.709,14.73,14.749,14.829
25, 29.364,0.58814,23.549,29.376,29.415,29.458,29.641
26, 59.0358,1.23016,46.893,59.037,59.175,59.253,59.604
27, 117.01,2.38884,93.357,117.064,117.277,117.417,117.828
28, 232.067,4.60151,186.352,232.335,232.473,232.667,233.297

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 6.79459,7.33236,5.489,5.552,5.573,5.603,59.014
