Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
8, 2, 0.30949,0.303096,0.016,0.0185,0.292,0.4645,1.287
8, 3, 0.43825,0.353163,0.022,0.027,0.3825,0.674,1.297
8, 4, 0.77703,0.347637,0.032,0.5715,0.849,1.009,1.544
8, 5, 0.84018,0.381518,0.038,0.583,0.842,1.132,1.591
8, 6, 1.06943,0.403271,0.043,0.859,1.078,1.333,2.007
8, 7, 1.18553,0.360361,0.28,0.9305,1.207,1.4305,1.98
8, 8, 1.376,0.363221,0.414,1.135,1.4,1.632,2.06
8, 9, 1.54632,0.298562,0.302,1.375,1.55,1.7755,2.197
8, 10, 1.61889,0.27541,0.801,1.4625,1.6145,1.816,2.27
8, 11, 1.66706,0.301968,0.458,1.5205,1.6895,1.8465,2.358
8, 12, 1.77869,0.279691,1.017,1.5845,1.8385,1.976,2.268
8, 13, 1.87131,0.252889,0.948,1.7185,1.9075,2.0135,2.381
8, 14, 1.97003,0.235113,1.3,1.831,1.995,2.153,2.437
8, 15, 2.04186,0.278955,1.207,1.887,2.041,2.2,2.705
8, 16, 2.08429,0.247649,1.328,1.9435,2.0755,2.2375,2.67
8, 17, 2.18785,0.213385,1.597,2.021,2.2415,2.3405,2.706
8, 18, 2.25373,0.200874,1.749,2.133,2.2585,2.413,2.614
8, 19, 2.29785,0.236108,1.853,2.133,2.267,2.467,2.984
8, 20, 2.39431,0.244762,1.673,2.2505,2.402,2.5195,3.044
9, 1, 0.13763,0.193529,0.01,0.011,0.013,0.3525,0.683
9, 2, 0.27621,0.24996,0.018,0.021,0.285,0.4185,0.933
9, 3, 0.47764,0.32408,0.025,0.288,0.4245,0.6845,1.373
9, 4, 0.75304,0.376967,0.035,0.4795,0.756,1.053,1.556
9, 5, 0.98391,0.404518,0.214,0.7015,0.9595,1.2535,1.999
9, 6, 1.15617,0.421562,0.051,0.885,1.203,1.4535,2.076
9, 7, 1.42018,0.425207,0.056,1.151,1.4645,1.7265,2.189
9, 8, 1.56116,0.366584,0.595,1.3025,1.553,1.806,2.331
9, 9, 1.75241,0.38141,0.658,1.5205,1.74,2.0385,2.633
9, 10, 1.97662,0.355804,1.008,1.7435,2.022,2.252,2.578
9, 11, 2.04457,0.351798,0.706,1.8475,2.0655,2.268,2.99
9, 12, 2.28505,0.37475,0.963,2.05,2.33,2.564,2.855
9, 13, 2.34116,0.346663,1.301,2.1285,2.3475,2.542,3.135
9, 14, 2.52025,0.336897,1.655,2.306,2.529,2.8085,3.186
9, 15, 2.66305,0.343631,1.781,2.4755,2.693,2.8725,3.592
9, 16, 2.77496,0.369044,1.774,2.5855,2.7945,3.0445,3.52
9, 17, 2.95424,0.34501,1.946,2.772,2.9785,3.195,3.606
9, 18, 3.0627,0.394253,2.081,2.748,3.0625,3.387,4.015
9, 19, 3.2134,0.348378,2.232,3.001,3.222,3.4465,3.92
9, 20, 3.3009,0.402378,1.93,3.1375,3.3715,3.5995,4.139
10, 1, 0.1453,0.217844,0.011,0.012,0.014,0.3275,0.913
10, 2, 0.34972,0.286211,0.02,0.025,0.3435,0.4855,1.303
10, 3, 0.61771,0.372791,0.03,0.36,0.5885,0.887,1.518
10, 4, 0.92237,0.423301,0.04,0.632,0.9225,1.238,2.047
10, 5, 1.10534,0.422161,0.049,0.785,1.136,1.376,2.432
10, 6, 1.40487,0.436711,0.057,1.1055,1.428,1.7625,2.428
10, 7, 1.71257,0.496877,0.292,1.4405,1.7235,2.0235,2.997
10, 8, 2.03134,0.469251,0.791,1.7355,2.015,2.331,3.009
10, 9, 2.22125,0.567861,0.527,1.8785,2.172,2.672,3.368
10, 10, 2.48122,0.626993,1.164,1.9575,2.439,2.971,3.727
10, 11, 2.80356,0.554105,1.86,2.3685,2.7555,3.2395,4.255
10, 12, 2.9741,0.676106,1.533,2.4065,2.9295,3.5335,4.462
10, 13, 3.39437,0.715814,1.465,2.833,3.4265,4.015,4.811
10, 14, 3.64653,0.659506,1.821,3.263,3.6345,4.1725,4.755
10, 15, 3.96097,0.612137,2.089,3.5845,4.0375,4.362,5.592
10, 16, 4.17822,0.631361,2.177,3.831,4.2725,4.586,5.348
10, 17, 4.53859,0.713314,2.545,4.0625,4.669,5.089,5.666
10, 18, 4.79602,0.717505,2.699,4.338,4.9025,5.3175,6.223
10, 19, 5.08417,0.729392,2.568,4.727,5.1365,5.5955,6.437
10, 20, 5.34635,0.680536,3.217,5,5.3915,5.7455,6.861
11, 1, 0.175,0.253984,0.013,0.013,0.016,0.351,1.036
11, 2, 0.40644,0.358991,0.021,0.026,0.3625,0.625,1.389
11, 3, 0.69835,0.607014,0.032,0.385,0.6265,0.914,5.475
11, 4, 1.06405,0.728688,0.044,0.6835,1.01,1.3025,5.53
11, 5, 1.4565,0.918321,0.358,0.9275,1.333,1.7485,5.432
11, 6, 2.09858,1.50419,0.627,1.364,1.6835,1.973,7.554
11, 7, 3.09313,2.13466,0.907,1.588,1.997,5.344,7.884
11, 8, 3.47971,2.09382,1.022,1.753,2.315,5.7345,8.099
11, 9, 4.37522,2.49322,1.222,2.1285,2.794,6.845,8.98
11, 10, 5.84297,2.41836,1.405,2.964,6.632,7.737,9.653
11, 11, 6.73525,2.62167,1.092,3.418,7.734,8.6835,10.801
11, 12, 7.33563,2.55597,1.747,6.399,8.07,9.387,10.512
11, 13, 8.58084,2.18674,2.192,8.119,9.19,10.0085,11.264
11, 14, 9.24205,1.94357,2.848,8.344,9.622,10.46,11.984
11, 15, 10.0278,1.80871,3.486,9.274,10.4365,11.0255,13.447
11, 16, 10.6687,1.76367,2.633,9.8225,10.9375,11.7405,13.459
11, 17, 11.5079,1.58565,2.944,10.6475,11.747,12.564,14.076
11, 18, 12.0974,1.47406,7.725,11.186,12.2685,13.021,14.968
11, 19, 12.5119,1.88178,4.102,11.701,12.6675,13.6885,15.959
11, 20, 13.0352,1.8131,3.967,12.437,13.287,14.139,16.502
12, 1, 0.17854,0.215252,0.014,0.016,0.0175,0.352,0.858
12, 2, 0.46579,0.314975,0.023,0.3,0.3865,0.652,1.412
12, 3, 0.80336,0.416811,0.038,0.448,0.821,1.0515,1.804
12, 4, 1.34967,1.09236,0.046,0.886,1.186,1.5125,7.759
12, 5, 1.67176,1.1406,0.06,1.089,1.4935,1.8375,7.779
12, 6, 2.98373,2.38843,0.433,1.386,1.826,5.175,9.771
12, 7, 4.52963,3.00676,0.371,1.8765,2.7465,6.9895,10.891
12, 8, 5.8387,3.17043,0.427,2.1635,6.6175,8.5595,11.293
12, 9, 7.87268,3.02186,1.558,6.1145,9.1235,10.1745,11.633
12, 10, 8.9352,2.47919,1.628,7.6105,9.443,10.8535,12.64
12, 11, 10.1553,2.39824,1.546,8.7395,10.8125,11.7775,13.926
12, 12, 11.1521,2.03516,1.981,10.227,11.5475,12.398,14.844
12, 13, 11.7619,1.91381,3.89,10.6415,12.1675,13.235,14.638
12, 14, 12.8626,1.67109,7.251,12.082,13.119,13.882,16.147
12, 15, 13.1738,1.85304,2.715,12.1415,13.3625,14.454,16.264
12, 16, 14.1606,1.75175,8.078,13.2615,14.494,15.329,16.782
12, 17, 14.6384,1.8427,8.026,13.3635,14.9765,16.069,18.488
12, 18, 15.7847,1.50819,10.386,15.1265,15.802,16.9325,18.649
12, 19, 16.3978,1.46295,12.231,15.58,16.56,17.3675,19.749
12, 20, 17.1814,1.4512,11.924,16.3365,17.212,18.132,20.512
13, 1, 0.23971,0.279979,0.015,0.016,0.0195,0.3695,1.466
13, 2, 0.44086,0.344255,0.026,0.033,0.3855,0.676,1.599
13, 3, 0.80752,0.430815,0.039,0.474,0.7485,1.1355,1.939
13, 4, 1.4462,1.17178,0.222,0.903,1.3015,1.5765,9.819
13, 5, 2.14958,1.95174,0.061,1.285,1.6355,1.9485,12.504
13, 6, 3.58513,3.02485,0.454,1.554,2.0255,5.741,12.532
13, 7, 6.10465,3.75213,0.674,2.1125,6.0635,9.611,13.062
13, 8, 7.73041,3.77947,0.927,5.5925,7.9565,10.654,14.354
13, 9, 9.68485,3.48227,1.862,7.584,10.258,12.39,15.566
13, 10, 11.1978,3.18352,1.574,9.967,11.8515,13.3325,16.108
13, 11, 12.9389,2.37748,2.657,11.9665,13.391,14.499,16.711
13, 12, 13.394,2.18804,3.047,12.211,13.3385,14.868,18.7
13, 13, 13.0915,2.31321,2.954,12.121,13.4945,14.585,16.849
13, 14, 15.892,1.70434,10.053,14.989,16.2765,17.0745,18.903
13, 15, 16.3214,1.70464,12.096,15.2435,16.4995,17.526,19.82
13, 16, 17.0998,1.73982,11.499,15.796,17.251,18.492,20.145
13, 17, 18.0125,1.76178,13.247,16.8935,18.328,19.148,21.894
13, 18, 19.0818,1.41914,14.721,18.2195,19.203,20.018,22.06
13, 19, 19.3531,1.67223,15.202,18.188,19.5795,20.7435,22.547
13, 20, 20.6293,1.74387,15.507,19.7,20.7285,21.836,24.406
14, 1, 0.25584,0.266606,0.016,0.019,0.2725,0.376,1.006
14, 2, 0.57799,0.420302,0.029,0.2855,0.5615,0.8335,1.617
14, 3, 0.89059,0.66557,0.043,0.5275,0.8105,1.0955,5.713
14, 4, 1.74815,1.65016,0.057,1.0005,1.296,1.8035,9.665
14, 5, 2.6001,2.4766,0.44,1.255,1.6645,2.38,13.22
14, 6, 4.94717,3.7903,0.527,1.737,2.424,7.957,15.245
14, 7, 7.18072,4.25304,0.695,2.3835,7.2635,10.667,16.158
14, 8, 10.0089,4.10085,1.445,7.9175,10.723,13.4415,16.157
14, 9, 12.4991,3.71811,1.623,10.949,13.227,15.191,17.75
14, 10, 13.7216,3.03215,2.269,11.9185,14.1195,16.1435,18.62
14, 11, 15.5629,2.99298,2.323,14.007,16.2665,17.7975,19.483
14, 12, 16.1457,2.51631,7.976,14.705,16.836,17.839,19.976
14, 13, 16.7724,2.29359,11.154,15.6425,17.225,18.2715,20.883
14, 14, 17.1969,2.38796,9.674,15.597,17.3925,18.7175,21.781
14, 15, 18.1499,2.53114,12.499,16.457,18.065,20.163,23.734
14, 16, 20.3705,2.02078,13.395,19.2715,20.6675,21.8755,23.891
14, 17, 21.836,1.73216,17.241,20.877,21.9395,22.8595,26.087
14, 18, 21.8804,2.21592,11.758,20.748,22.0425,23.4415,25.55
14, 19, 22.8982,1.81605,17.176,21.95,22.9205,24.1595,26.79
14, 20, 24.5541,1.76765,19.592,23.3855,24.5585,25.7985,28.476
15, 1, 0.22977,0.248723,0.017,0.019,0.022,0.383,0.996
15, 2, 0.50238,0.424929,0.03,0.0375,0.414,0.6975,1.813
15, 3, 1.05562,0.954418,0.043,0.639,0.9435,1.3015,8.285
15, 4, 1.98624,1.85119,0.059,0.956,1.4305,1.9765,9.782
15, 5, 3.63943,3.17393,0.427,1.54,2.0185,5.825,14.317
15, 6, 6.51155,4.38156,0.88,2.0255,5.9895,9.6335,16.709
15, 7, 7.29431,3.96332,0.932,4.0435,7.4495,10.4985,17.434
15, 8, 10.8599,4.14624,0.987,8.3545,11.4535,13.3215,20.738
15, 9, 13.5481,4.55454,1.991,11.309,14.144,17.098,20.174
15, 10, 15.6891,3.48604,7.393,13.207,16.234,18.8365,21.94
15, 11, 16.967,3.04846,9.294,14.634,17.2475,19.0585,23.136
15, 12, 19.4353,2.86084,9.098,17.9535,20.106,21.369,24.853
15, 13, 20.8458,2.61148,10.537,19.3145,21.211,22.814,24.842
15, 14, 21.5486,2.53567,12.164,20.453,21.8445,23.336,25.479
