Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
21, 17, 158.522,25.1874,84.917,143.105,162.298,176.833,220.4
21, 18, 156.978,34.2228,73.54,135.255,159.974,181.465,231.079
21, 19, 180.582,32.3268,82.115,161.421,182.883,202.616,245.193
21, 20, 195.138,35.7846,97.941,174.628,204.717,219.632,280.803
22, 1, 0.40416,0.335295,0.026,0.03,0.3815,0.634,1.403
22, 2, 0.88007,0.531739,0.045,0.5285,0.7955,1.2015,2.455
22, 3, 1.66604,1.76006,0.082,0.9015,1.301,1.7585,11.094
22, 4, 4.69618,5.81295,0.799,1.799,2.1835,5.8105,33.613
22, 5, 10.1358,7.94473,1.282,2.644,8.5865,13.561,46.834
22, 6, 19.727,15.9756,1.488,10.2035,17.905,26.673,129.413
22, 7, 28.5945,17.496,1.925,16.5405,24.4375,37.1555,99.649
22, 8, 46.5187,28.5075,7.314,27.9175,38.9855,52.733,139.456
22, 9, 76.2109,39.1916,17.675,43.761,69.7705,104.174,182.454
22, 10, 89.4064,46.8032,23.21,53.589,79.9105,114.552,237.118
22, 11, 120.864,54.8046,37.701,72.234,110.088,163.905,267.188
22, 12, 148.875,57.9025,24.647,99.0955,157.322,197.306,271.12
22, 13, 183.352,55.3564,59.896,140.04,188.473,229.387,289.418
22, 14, 195.079,61.8636,59.959,145.724,203.346,237.048,345.578
22, 15, 243.161,66.633,90.971,193.026,246.071,297.23,378.892
22, 16, 260.677,61.3585,65.876,213.452,274.221,308.629,361.385
22, 17, 294.686,64.342,86.798,267.781,298.755,340.692,402.859
22, 18, 326.203,57.7784,155.879,291.916,335.43,365.056,461.894
22, 19, 342.133,61.3988,175.268,299.416,349.092,391.882,444.084
22, 20, 370.523,62.5607,193.396,336.223,377.13,412.392,506.214
23, 1, 0.42429,0.306597,0.028,0.292,0.375,0.6245,1.203
23, 2, 0.91322,0.468506,0.054,0.532,0.855,1.236,1.973
23, 3, 1.43868,0.936119,0.072,0.794,1.316,1.8835,6.454
23, 4, 4.53546,4.53589,0.743,1.731,2.3475,6.505,25.618
23, 5, 11.3009,13.0462,0.908,2.9835,7.7815,15.4245,110.678
23, 6, 23.2719,29.8243,1.731,10.249,16.6315,23.767,196.755
23, 7, 45.095,40.2123,3.071,20.3795,31.9165,54.2225,225.46
23, 8, 95.0731,75.5067,10.483,39.213,62.3375,128.964,341.67
23, 9, 129.619,91.9112,20.456,52.9945,106.34,177.287,368.161
23, 10, 180.914,104.006,25.866,98.9585,166.454,254.47,432.643
23, 11, 230.68,111.58,32.68,133.123,235.382,318.664,470.18
23, 12, 291.564,119.006,38.051,191.467,302.822,374.872,555.875
23, 13, 331.765,120.12,87.713,246.93,332.603,427.943,582.443
23, 14, 414.674,128.769,114.311,337.909,437.51,503.561,684.016
23, 15, 497.327,122.662,70.224,430.647,501.208,588.703,713.181
23, 16, 505.986,116.547,219.736,421.143,517.702,592.574,735.341
23, 17, 615.294,111.745,287.135,548.794,615.066,688.103,841.288
23, 18, 640.712,140.026,197.045,569.294,655.233,740.189,870.259
23, 19, 677.122,135.31,266.143,583.46,685.488,769.779,959.077
23, 20, 783.199,120.262,369.444,718.743,799.989,863.73,1062.48
24, 1, 0.42102,0.339168,0.028,0.034,0.36,0.6605,1.736
24, 2, 0.89807,0.555647,0.052,0.4755,0.788,1.239,2.591
24, 3, 1.71038,1.33714,0.078,1.0625,1.559,1.98,10.884
24, 4, 4.44166,4.45945,0.357,1.7595,2.5665,6.4835,23.718
24, 5, 10.3632,7.59335,1.27,3.2705,8.286,15.084,43.783
24, 6, 31.2772,48.2362,1.747,12.111,18.3725,30.9935,310.749
24, 7, 71.851,78.7822,2.325,20.3165,32.327,103.361,359.203
24, 8, 120.716,130.216,3.354,31.855,63.476,175.038,589.745
24, 9, 211.801,168.046,8.806,66.857,148.217,326.749,643.611
24, 10, 359.852,215.557,23.794,165.151,326.341,527.885,842.786
24, 11, 468.249,238.472,53.896,276.136,454.435,644.083,957.899
24, 12, 587.827,229.721,77.537,388.322,630.056,774.938,1026.19
24, 13, 653.294,262.943,173.253,443.378,643.878,871.921,1190.35
24, 14, 792.093,250.997,139.837,611.97,827.084,992.896,1213.37
24, 15, 934.755,275.12,305.143,762.28,952.819,1114.64,1705.68
24, 16, 1078.76,247.629,508.035,913.486,1099.15,1256.84,1641.53
24, 17, 1161.12,259.576,511.605,992.088,1191.85,1361.51,1617.44
24, 18, 1346.4,285.003,568.584,1161.53,1368.33,1566.55,1857.05
24, 19, 1408.89,236.548,593.717,1260.21,1417.98,1587.22,1930.17
24, 20, 1614.92,249.695,814.792,1482.45,1636.41,1807.56,2082.51
25, 1, 0.37815,0.30902,0.029,0.035,0.3665,0.652,1.345
25, 2, 0.87212,0.513612,0.055,0.4575,0.7655,1.119,2.485
25, 3, 1.9343,1.58334,0.519,1.3515,1.726,2.1195,14.488
25, 4, 5.39424,5.0404,0.101,2.1045,2.7805,8.411,24.388
25, 5, 21.2648,29.0893,1.087,4.105,13.61,22.446,185.666
25, 6, 61.4313,118.468,2.915,13.688,23.0255,49.8385,906.091
25, 7, 170.504,222.597,2.299,29.704,79.0755,210.419,1144.81
25, 8, 225.423,203.31,18.724,63.136,182.866,346.43,1113.78
25, 9, 397.272,319.423,16.552,162.26,278.813,560.928,1607.06
25, 10, 796.473,455.942,44.767,384.604,802.953,1145.47,1660.64
25, 11, 1016.24,451.217,62.567,696.081,1034.95,1335.47,2097.94
25, 12, 1179.37,514.642,111.478,811.336,1326.58,1550.27,2323.21
25, 13, 1329.72,478.144,160.922,946.291,1341,1702.58,2409.9
25, 14, 1717.65,529.569,347.534,1403.06,1776.03,2148.16,3022.79
25, 15, 1892.17,525.181,426.679,1645.75,1970.67,2247.91,2852.8
25, 16, 2198.28,530.235,576.052,1970.1,2222.41,2526.52,3313.4
25, 17, 2341.83,526.959,1111.67,1961.32,2449.02,2692.42,3593.89
25, 18, 2665.01,473.852,1470.89,2390.61,2664.59,3032.57,3660.44
25, 19, 2870.71,563.032,1256.47,2574.14,2991.36,3249.02,4189.03
25, 20, 3187.58,539.934,1444.85,2824.11,3276.16,3584.36,4195.81
26, 1, 0.46227,0.297047,0.031,0.35,0.394,0.689,1.421
26, 2, 0.97271,0.493304,0.057,0.6105,0.8785,1.3425,2.394
26, 3, 2.23096,2.49573,0.357,1.1015,1.6545,2.3525,16.599
26, 4, 5.76535,7.35243,1.024,2.1815,2.761,7.534,45.204
26, 5, 32.2523,85.2172,1.34,3.581,11.2485,16.7365,620.658
26, 6, 82.179,155.237,1.811,13.882,25.0645,57.6,871.715
26, 7, 220.864,309.142,2.946,33.054,77.387,292.821,1616.25
26, 8, 568.208,591.284,14.817,154.266,297.925,791.075,2489.38
26, 9, 874.604,701.453,21.465,297.771,739.42,1325.86,2996.17
26, 10, 1274.38,862.52,28.474,543.292,1056.61,1894.81,3165.07
26, 11, 1847.72,917.809,302.954,1020.41,1943.87,2486.04,3820.93
26, 12, 2245.59,944.729,195.171,1618.94,2254.33,2865.96,4529.2
26, 13, 2757.76,986.859,914.618,1955.58,2830.05,3584.22,5110.24
26, 14, 3391.55,1170.81,650.133,2468.04,3513.65,4152.55,6167.02
26, 15, 4083.9,1143.2,1323.61,3403.73,4255.26,4874.9,6229.95
26, 16, 4294.95,1058.6,750.354,3599.03,4358.71,5125.75,6195.58
26, 17, 4722.9,1125.65,1704.57,4101.71,4907.52,5431.98,7386.81
26, 18, 5526.32,1207.12,2296.81,4844.6,5670.95,6380.68,7758.48
26, 19, 6021.16,1042.94,2388.44,5381.61,6033.11,6838.61,8224.29
26, 20, 6299.8,1146.39,3099.71,5489.34,6453.5,7181.25,8458.43
27, 1, 0.41525,0.340514,0.032,0.0365,0.3765,0.6395,1.495
27, 2, 0.9077,0.477874,0.061,0.5805,0.789,1.1785,2.31
27, 3, 2.81487,2.841,0.434,1.486,2.008,2.7085,15.385
27, 4, 6.07056,6.197,0.784,2.304,3.1465,8.039,37.78
27, 5, 67.7446,272.392,1.927,3.816,13.04,26.5,2542.28
27, 6, 164.047,327.027,2.398,17.223,36.2895,181.267,2325.05
27, 7, 487.211,650.499,4.07,40.7195,228.308,625.415,3368
27, 8, 1003.45,1036.23,12.388,245.247,594.327,1500.88,4177.08
27, 9, 1587.62,1225.4,32.383,565.238,1214.04,2243.91,5495.62
27, 10, 2929.8,1769.65,84.764,1366.44,2750.86,4245.13,6798.47
27, 11, 3555.2,1859.14,64.996,2302.51,3375.87,5045.02,8239.22
27, 12, 4331.73,2091.79,387.003,2515.33,4108.73,6129.26,8666.48
27, 13, 5788.86,2270.01,1020.91,3917.57,6297.78,7334.17,10196.9
27, 14, 6762.92,2313.32,1115.51,4975.14,7335.1,8323.07,11348
27, 15, 8424.12,2207.78,2240.82,7183.58,8830.06,10159.8,12995.6
27, 16, 9300.22,2272.3,3085.29,8114.32,9352.08,11144.8,13608.5
27, 17, 9909.54,2044.04,4655.82,8639.51,10073.9,11292.4,13639.7
27, 18, 10512.9,2110.46,4117.66,9258.93,10712.8,11863.2,14817.7
27, 19, 12335.5,2650.43,5417.29,10494,12872.9,14252.1,17171.6
27, 20, 13074.6,2391.76,4771.19,11872.7,13330.3,14690.5,19175.5
