Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
8, 2, 1.98081,2.30687,0.022,0.024,1.902,3.403,10.27
8, 3, 3.63489,2.91601,0.028,1.9125,3.569,5.73,11.215
8, 4, 5.90765,3.94372,0.037,2.266,5.813,9.0795,15.738
8, 5, 7.92736,3.70035,0.046,5.803,8.544,10.736,15.565
8, 6, 9.82824,4.0455,0.052,8.229,10.4645,12.3565,15.806
8, 7, 11.5977,3.32431,2.161,9.9345,12.474,13.8125,17.614
8, 8, 12.9673,2.97898,4.166,11.309,13.4035,15.127,17.578
8, 9, 14.3229,2.69045,2.045,13.431,15.1085,15.981,18.638
8, 10, 15.3674,1.93539,8.637,14.36,15.601,16.613,19.113
8, 11, 15.9974,1.82162,8.315,15.02,16.34,17.2105,19.41
8, 12, 17.1086,1.6663,8.192,16.229,17.0005,17.9925,20.814
8, 13, 17.7894,1.38802,13.458,16.8625,17.8435,18.8005,20.34
8, 14, 18.4642,1.52244,14.791,17.4335,18.6345,19.541,21.676
8, 15, 18.7101,1.54755,12.598,17.7515,18.822,19.6415,21.904
8, 16, 19.3485,1.5177,14.096,18.381,19.409,20.337,22.772
8, 17, 19.8928,1.29963,14.81,19.006,19.8385,21.0015,22.508
8, 18, 20.5998,1.31234,17.502,19.895,20.6405,21.4615,23.814
8, 19, 21.3497,1.47414,16.616,20.324,21.251,22.2535,25.377
8, 20, 22.2161,1.48869,19.172,21.1535,22.2245,23.291,25.983
9, 1, 0.77924,1.23215,0.015,0.0165,0.017,1.6605,4.993
9, 2, 2.2623,2.20303,0.024,0.026,1.9235,3.835,8.99
9, 3, 4.26266,3.13021,0.033,1.944,3.888,6.29,14.064
9, 4, 6.75433,3.93977,0.041,3.968,6.2425,9.3515,17.198
9, 5, 9.00458,3.92528,0.051,6.2865,9.4915,11.237,15.823
9, 6, 10.9738,4.27227,0.057,8.02,11.611,14.83,18.639
9, 7, 13.433,3.66606,0.07,11.256,14.0225,16.2615,19.108
9, 8, 14.6961,3.64334,0.074,13.0445,15.6085,17.3205,20.044
9, 9, 16.2658,2.53618,8.293,15.215,16.9625,18.006,20.332
9, 10, 17.8244,2.15263,9.688,17.188,18.1945,19.119,21.185
9, 11, 18.0283,2.37882,4.336,17.534,18.3875,19.3385,21.165
9, 12, 19.0715,2.34293,4.311,18.284,19.535,20.154,22.943
9, 13, 19.8775,1.79344,12.613,18.9,19.9975,20.879,23.626
9, 14, 20.5582,1.47283,16.241,19.832,20.6905,21.419,24.233
9, 15, 21.1557,1.57311,16.079,20.291,21.1585,22.0525,24.801
9, 16, 21.9056,1.5622,16.758,21.079,21.894,22.6565,26.75
9, 17, 22.4213,1.52649,18.733,21.5675,22.449,23.4565,26.312
9, 18, 23.3535,1.33622,19.903,22.6325,23.152,24.4255,27.023
9, 19, 24.0936,1.45953,21.013,23.079,24.1265,25.242,27.219
9, 20, 24.6067,1.63104,19.897,23.599,24.632,25.738,28.224
10, 1, 0.78665,1.27079,0.016,0.018,0.019,1.6545,5.445
10, 2, 2.65715,2.29801,0.027,0.032,2.084,4.0195,9.924
10, 3, 4.74973,3.25443,0.037,2.0155,4.2455,7.0925,14.763
10, 4, 7.38134,4.2239,0.046,4.0025,7.4195,10.944,16.859
10, 5, 10.5729,4.13052,0.054,7.6785,11.038,13.5075,20.408
10, 6, 13.382,4.19844,1.999,10.1985,13.676,17.029,20.851
10, 7, 14.8762,3.62791,4.835,12.3855,15.112,17.722,21.314
10, 8, 16.7988,3.2828,5.883,15.194,17.0615,19.123,22.964
10, 9, 18.525,2.50092,9.667,17.4735,18.846,20.213,23.353
10, 10, 19.147,2.59604,8.623,18.2585,19.746,20.9135,22.87
10, 11, 20.2261,1.7527,15.264,19.337,20.4365,21.3685,24.369
10, 12, 21.0235,1.92244,15.448,20.047,21.4835,22.2585,24.836
10, 13, 22.0048,2.0195,14.783,21.4515,22.305,23.0645,27.222
10, 14, 23.0992,1.75348,17.915,22.2545,23.1075,24.154,27.005
10, 15, 23.7165,1.89519,13.956,22.8965,23.778,24.888,27.996
10, 16, 24.7898,1.34475,21.699,23.717,24.747,25.8325,27.871
10, 17, 25.2225,1.66744,20.156,24.184,25.2105,26.4475,28.937
