Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
21, 18, 303.151,1.31506,297.637,302.263,302.941,304.044,306.753
21, 19, 321.251,2.03064,311.121,320.836,321.538,322.181,325.272
21, 20, 329.169,2.21295,326.735,328.068,328.417,329.203,336.148
22, 1, 3.10455,0.244831,2.499,2.909,3.082,3.32,3.688
22, 2, 3.81131,0.239697,3.166,3.6925,3.8145,3.9425,4.526
22, 3, 67.6489,5.06865,55.747,63.9735,70.4405,70.753,71.727
22, 4, 103.78,1.47932,95.85,102.863,103.994,104.573,106.431
22, 5, 135.297,5.13554,126.966,130.436,134.934,140.639,144.188
22, 6, 164.743,4.81442,157.786,160.773,163.006,168.067,174.787
22, 7, 199.413,3.50079,195.331,197.095,198.133,200.274,211.05
22, 8, 237.309,5.41156,224.091,231.632,240.427,242.038,243.612
22, 9, 267.841,3.17252,264.14,265.995,266.786,268.056,279.833
22, 10, 298.626,2.77663,294.648,296.971,297.959,299.461,308.099
22, 11, 343.719,5.36778,333.556,338.02,346.359,348.568,349.87
22, 12, 377.668,3.66251,366.076,375.089,379.503,380.159,381.716
22, 13, 406.397,3.41788,401.666,404.224,405.323,407.21,417.762
22, 14, 436.216,2.52333,432.833,434.739,435.622,436.688,445.994
22, 15, 474.79,3.21312,470.807,473.124,473.984,475.017,488.046
22, 16, 511.966,5.75925,502.338,505.843,515.006,517.359,519.74
22, 17, 542.391,1.50951,539.156,541.571,542.524,543.281,550.77
22, 18, 573.925,1.99797,570.703,572.808,573.528,574.495,581.495
22, 19, 612.283,2.80129,608.166,610.442,611.648,613.514,622.106
22, 20, 649.114,5.48614,638.283,643.616,648.737,654.875,657.195
23, 1, 3.44716,0.239518,2.549,3.3275,3.472,3.6075,4.067
23, 2, 130.238,1.56414,128.214,129.458,130.087,130.535,138.036
23, 3, 211.505,2.03548,206.651,210.912,211.713,212.517,219.452
23, 4, 290.536,2.00338,285.377,289.414,290.82,291.922,297.309
23, 5, 368.182,4.22657,356.81,366.088,368.186,369.841,379.02
23, 6, 444.651,2.17187,440.74,442.531,445.275,445.95,453.666
23, 7, 523.096,1.63294,518.577,522.543,523.227,524.264,527.399
23, 8, 600.475,2.58713,589.816,599.083,601.024,601.922,607.708
23, 9, 678.722,1.84549,674.282,677.932,679.006,679.886,682.494
23, 10, 755.981,2.00803,751.373,755.325,756.396,757.203,760.889
23, 11, 835.218,4.44483,823.019,832.668,835.439,837.337,845.443
23, 12, 911.768,2.15901,906.822,910.875,912.211,913.096,920.185
23, 13, 989.381,1.81605,985.018,988.677,989.843,990.417,993.043
23, 14, 1067.65,3.24522,1060.96,1065.74,1067.57,1069.04,1077.93
23, 15, 1144.59,1.85984,1140.54,1142.58,1145.24,1145.93,1148.22
23, 16, 1222.31,2.11186,1218.02,1220.18,1223.06,1223.99,1226.41
23, 17, 1300.47,1.9157,1295.49,1299.39,1300.82,1301.63,1304.56
23, 18, 1378.09,2.18788,1372.71,1377.09,1378.31,1379.28,1387.73
23, 19, 1455.6,2.11557,1450.54,1454.26,1456.21,1457.15,1459.49
23, 20, 1535.27,3.96034,1524.33,1532.96,1534.82,1536.77,1544.87
24, 1, 3.73669,0.262526,3.07,3.5665,3.7525,3.9,4.394
24, 2, 4.72041,0.273789,4.125,4.5055,4.7325,4.935,5.261
24, 3, 229.812,2.83219,222.966,228.836,229.802,231.162,237.12
24, 4, 386.636,4.65905,371.832,385.398,386.503,389.224,394.965
24, 5, 529.981,3.26756,522.9,530.199,531.576,532.022,534.365
24, 6, 680.183,4.66612,667.845,676.461,680.661,683.386,689.89
24, 7, 842.266,3.52522,834.542,839.114,843.653,844.239,852.432
24, 8, 977.522,3.8664,966.639,973.839,978.639,980.065,985.777
24, 9, 1140.12,3.57867,1133.08,1135.61,1141.77,1142.76,1144.79
24, 10, 1276,5.17049,1262.42,1272.1,1277.26,1279.29,1286.06
24, 11, 1421.11,3.14382,1413.99,1421.43,1422.31,1423.16,1425.16
24, 12, 1570.3,3.79689,1558.25,1568.32,1571.51,1572.68,1578.88
24, 13, 1716.05,2.9905,1708.64,1716.24,1716.93,1717.85,1719.97
24, 14, 1864.75,3.30224,1857.21,1864.73,1865.8,1866.55,1870.3
24, 15, 2027.86,3.41169,2015.97,2027.42,2029.01,2029.88,2032.69
24, 16, 2163.02,3.24321,2154.77,2162.61,2164.22,2165.18,2167.89
24, 17, 2325.23,4.82424,2313.21,2321.25,2325.94,2328.41,2338.19
24, 18, 2460.59,4.0033,2449.81,2457.3,2461.74,2462.84,2467.39
24, 19, 2606.72,3.38903,2597.9,2606.22,2607.36,2608.67,2615.15
24, 20, 2755.94,5.25021,2743.53,2751.65,2756.88,2759.42,2766.92
25, 1, 3.13697,0.257934,2.495,2.9605,3.1285,3.291,3.8
25, 2, 4.37625,0.378245,3.824,4.1685,4.34,4.5325,7.221
25, 3, 516.382,1.51778,514.284,515.411,516.038,517.006,525.825
25, 4, 825.553,4.55158,809.235,824.971,826.391,827.601,833.421
25, 5, 1139.21,6.48641,1123.48,1138.9,1141.4,1143.23,1149.93
25, 6, 1434.36,6.4026,1418.55,1433.26,1436.19,1439.06,1443
25, 7, 1748.93,6.82722,1732.27,1747.4,1749.87,1754.13,1760.09
25, 8, 2042.99,7.15318,2025.76,2038.06,2043.73,2049.48,2054.4
25, 9, 2358.52,6.893,2340.51,2355.56,2357.58,2364.86,2368.33
25, 10, 2653.86,7.72335,2634.57,2650.08,2652.4,2660.79,2664.69
25, 11, 2966.94,8.22146,2948.78,2962.79,2965.72,2975.6,2980.16
25, 12, 3262.48,9.40207,3242.94,3258.09,3260.76,3271.8,3276.23
25, 13, 3579.08,9.18836,3558,3573.32,3576.21,3587.83,3593.08
25, 14, 3872.46,10.5843,3852.89,3868.15,3870.15,3883.79,3889.04
25, 15, 4188.37,10.8378,4164.93,4182.21,4184.36,4199.27,4204
25, 16, 4482.99,9.85199,4459.39,4476.71,4479,4494.09,4498.41
25, 17, 4797.22,11.5255,4775.39,4791,4795.28,4810.1,4814.6
25, 18, 5093.79,12.4289,5069.32,5085.61,5089,5106.78,5111.5
25, 19, 5409.04,12.0242,5383.4,5399.85,5404.43,5421.57,5427.81
25, 20, 5702.52,13.3538,5675.58,5694.46,5698.95,5717.22,5720.96
26, 1, 3.78361,0.284631,3.014,3.6015,3.8105,3.997,4.359
26, 2, 4.53102,0.291803,3.909,4.335,4.5445,4.7315,5.32
26, 3, 957.505,1.79719,954.645,956.382,956.997,958.344,965.41
26, 4, 1560.56,5.27713,1531.44,1560.04,1560.89,1562.1,1569.82
26, 5, 2241.58,9.29588,2212.32,2243,2243.94,2245.3,2253.32
26, 6, 2814.77,10.3498,2787.18,2816.75,2818.22,2819.58,2823.52
26, 7, 3498.23,10.5986,3470.74,3499.18,3501.78,3503.89,3509.22
26, 8, 4068.23,11.5088,4040.76,4071.08,4072.26,4074.22,4079.38
26, 9, 4751.59,11.4637,4724.23,4753.78,4756,4757.66,4763.18
26, 10, 5323.39,11.208,5296.35,5325.55,5327.48,5329.52,5334.54
26, 11, 6006.17,11.6127,5977.54,6008.68,6010.31,6012,6017.42
26, 12, 6579.83,11.6299,6551.73,6582.15,6584.29,6586.33,6591.5
26, 13, 7262.72,11.4462,7234.22,7264.79,7267.13,7269.08,7275.16
26, 14, 7838.24,10.7808,7807.77,7839.18,7841.39,7843.43,7853.8
26, 15, 8521.23,10.9193,8492.71,8521.71,8524.57,8527.08,8533.69
26, 16, 9091.9,11.876,9062.27,9093.2,9096.93,9098.65,9105.38
26, 17, 9773.26,13.5487,9744.41,9756.31,9780.03,9782.03,9790.14
26, 18, 10348.1,12.1865,10319.3,10349.8,10352.7,10355,10362.1
26, 19, 11028.9,12.3731,10999,11030.7,11033.9,11035.7,11043.8
26, 20, 11602.9,10.7897,11574.1,11603.5,11605.9,11609.2,11616.8
27, 1, 3.76579,0.251914,3.165,3.557,3.7695,3.93,4.384
27, 2, 4.97248,0.277671,4.382,4.7875,4.943,5.123,6.301
27, 3, 1949.96,3.02731,1943.74,1947.65,1949.62,1952.25,1957.66
27, 4, 3260.52,12.9288,3201.93,3261.01,3262.56,3264.95,3273.18
27, 5, 4661.06,18.0372,4604.88,4663.91,4665.57,4668.38,4677.82
27, 6, 5915.43,17.675,5859.41,5918.13,5919.93,5922.85,5931.78
27, 7, 7318.56,16.0653,7263.16,7319.69,7322.23,7324.97,7333.62
27, 8, 8567.02,19.0697,8513.9,8571.29,8573.22,8575.52,8582.19
27, 9, 9965.84,23.1854,9909.9,9971.74,9975.21,9978.5,9991.72
27, 10, 11215.7,22.8864,11162.6,11221.7,11225.1,11228,11235.8
27, 11, 12618,22.925,12564.7,12625,12628,12629.9,12637.5
27, 12, 13874.3,21.314,13818.5,13878.2,13881.1,13885.1,13894.9
27, 13, 15278.6,20.1525,15222.4,15282.2,15285.5,15288,15299.8
27, 14, 16531,22.3955,16474.2,16534.6,16540,16543.3,16552
27, 15, 17935.6,22.0973,17878.5,17939.1,17942.9,17946.5,17958.5
27, 16, 19186.9,21.5375,19128,19188.1,19194.3,19198.6,19207.4
27, 17, 20587.3,22.0769,20533.1,20589.4,20596.1,20600.5,20607.1
27, 18, 21838.2,22.9979,21781.6,21839.4,21847,21851.5,21867.3
27, 19, 23239.7,24.0099,23177.9,23241,23249.3,23253.7,23267.2
27, 20, 24501.1,19.7689,24439.4,24500.2,24507.8,24512.6,24522
