Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
8, 1, 1.19071,0.154731,0.833,1.0665,1.198,1.2935,1.557
8, 2, 1.40809,0.177693,0.918,1.2875,1.4,1.541,1.767
8, 3, 1.7274,0.19514,1.333,1.565,1.7225,1.8445,2.168
8, 4, 1.8717,0.172768,1.45,1.765,1.8625,1.999,2.255
8, 5, 1.9846,0.179147,1.528,1.851,1.9775,2.1255,2.344
8, 6, 2.00208,0.200117,1.518,1.845,2.0155,2.1435,2.445
8, 7, 2.1016,0.176178,1.693,1.9655,2.082,2.228,2.526
8, 8, 2.27494,0.163906,1.87,2.1455,2.2755,2.395,2.636
8, 9, 2.36809,0.170479,2.005,2.2575,2.3535,2.497,2.692
8, 10, 2.43041,0.190722,2.086,2.3075,2.4325,2.537,3.442
8, 11, 2.54899,0.171291,2.23,2.414,2.5295,2.6785,2.972
8, 12, 2.62865,0.157797,2.174,2.5045,2.633,2.7245,3.039
8, 13, 2.69112,0.160937,2.297,2.5865,2.7085,2.796,3.114
8, 14, 2.78251,0.175615,2.405,2.6715,2.771,2.889,3.219
8, 15, 2.86124,0.176231,2.352,2.737,2.8755,2.996,3.276
8, 16, 2.97988,0.197898,2.603,2.8315,2.9785,3.0765,4.108
8, 17, 3.0877,0.165591,2.699,2.961,3.0965,3.1945,3.472
8, 18, 3.13849,0.158798,2.75,3.0325,3.1425,3.2295,3.569
8, 19, 3.10916,0.156622,2.7,2.9895,3.1065,3.232,3.567
8, 20, 3.18776,0.152855,2.88,3.061,3.183,3.282,3.622
9, 1, 0.91576,0.162747,0.481,0.811,0.9345,1.033,1.205
9, 2, 1.26018,0.187524,0.873,1.136,1.2795,1.343,2.329
9, 3, 1.76849,0.172638,1.336,1.634,1.783,1.8825,2.102
9, 4, 1.94019,0.163927,1.443,1.837,1.924,2.0365,2.279
9, 5, 2.08445,0.16138,1.687,1.9585,2.0865,2.1965,2.446
9, 6, 2.25952,0.17501,1.81,2.1225,2.269,2.3685,2.694
9, 7, 2.46596,0.166179,1.972,2.329,2.4535,2.5735,2.834
9, 8, 2.59389,0.169765,2.11,2.478,2.5685,2.7175,2.94
9, 9, 2.77582,0.157398,2.32,2.6735,2.7675,2.8775,3.12
9, 10, 2.92364,0.150593,2.567,2.8015,2.921,3.03,3.284
9, 11, 3.11619,0.169143,2.754,2.9815,3.108,3.2345,3.558
9, 12, 3.2238,0.176041,2.802,3.093,3.225,3.364,3.59
9, 13, 3.44293,0.173775,2.989,3.326,3.4445,3.5765,3.811
9, 14, 3.55993,0.188124,3.103,3.404,3.547,3.698,3.963
9, 15, 3.73254,0.175503,3.302,3.6105,3.7305,3.8675,4.09
9, 16, 3.86221,0.169,3.342,3.743,3.8585,3.994,4.216
9, 17, 4.10013,0.175921,3.695,3.9685,4.1065,4.2215,4.545
9, 18, 4.22888,0.178616,3.748,4.1195,4.2255,4.333,4.695
9, 19, 4.2452,0.157163,3.9,4.131,4.24,4.351,4.589
9, 20, 4.54518,0.177608,3.983,4.4435,4.5655,4.6375,5.47
10, 1, 1.22543,0.149679,0.921,1.153,1.2065,1.311,1.599
10, 2, 1.54039,0.187849,0.999,1.4275,1.5265,1.664,2.018
10, 3, 2.03436,0.190055,1.642,1.869,2.0455,2.21,2.45
10, 4, 2.41022,0.170902,2.034,2.306,2.4325,2.525,2.844
10, 5, 2.80373,0.185422,2.442,2.6665,2.803,2.9255,3.426
10, 6, 3.12723,0.19315,2.69,3.008,3.102,3.2715,3.557
10, 7, 3.54061,0.184594,3.079,3.406,3.5545,3.662,3.962
10, 8, 3.85271,0.202849,3.259,3.714,3.857,4.025,4.193
10, 9, 4.223,0.172711,3.762,4.1115,4.225,4.352,4.627
10, 10, 4.53087,0.192005,4.172,4.392,4.5355,4.661,5.566
10, 11, 4.89309,0.179199,4.496,4.7625,4.887,5.006,5.319
10, 12, 5.18706,0.168155,4.787,5.055,5.197,5.3035,5.57
10, 13, 5.52196,0.185847,4.963,5.409,5.506,5.6505,6.087
10, 14, 5.87229,0.189844,5.511,5.7285,5.864,5.9895,6.499
10, 15, 6.22145,0.17345,5.844,6.091,6.218,6.327,6.767
10, 16, 6.57804,0.178545,6.06,6.46,6.579,6.683,6.949
10, 17, 6.98363,0.161556,6.66,6.8785,6.965,7.107,7.364
10, 18, 7.24717,0.163431,6.768,7.126,7.259,7.3565,7.606
10, 19, 7.59988,0.165613,7.294,7.456,7.576,7.728,8.046
10, 20, 7.94767,0.161136,7.38,7.8415,7.954,8.044,8.34
11, 1, 1.57571,0.173424,1.143,1.47,1.5545,1.6935,1.978
11, 2, 4.80409,0.188736,4.384,4.6645,4.798,4.924,5.197
11, 3, 6.06988,0.182189,5.62,5.954,6.058,6.204,6.435
11, 4, 7.05335,0.181928,6.487,6.928,7.0505,7.18,7.515
11, 5, 7.9567,0.188612,7.488,7.8325,7.963,8.0835,8.319
11, 6, 8.92878,0.200988,8.435,8.811,8.9455,9.058,9.423
11, 7, 9.91682,0.235869,9.337,9.7555,9.9265,10.061,10.609
11, 8, 10.8131,0.224136,10.3,10.6575,10.803,10.971,11.275
11, 9, 11.7715,0.196581,11.335,11.6275,11.7665,11.9125,12.227
11, 10, 12.7028,0.212638,12.064,12.5565,12.7275,12.857,13.241
11, 11, 13.6199,0.198875,12.959,13.492,13.6205,13.7785,14.062
11, 12, 14.5543,0.184868,14.107,14.423,14.5715,14.7,14.986
11, 13, 15.5195,0.205331,14.95,15.414,15.5585,15.6515,15.961
11, 14, 16.4817,0.223666,16.036,16.2965,16.4945,16.6425,16.937
11, 15, 17.416,0.196835,16.845,17.28,17.4195,17.5465,17.903
11, 16, 18.3765,0.213504,17.923,18.2045,18.3705,18.514,19.16
11, 17, 19.3439,0.192781,18.843,19.218,19.326,19.4865,19.843
11, 18, 20.2657,0.192837,19.87,20.1445,20.2535,20.3895,21.223
11, 19, 21.1524,0.202284,20.627,20.979,21.145,21.288,21.605
11, 20, 22.1609,0.197287,21.546,22.035,22.1605,22.304,22.68
12, 1, 1.91141,0.199261,1.372,1.791,1.918,2.0515,2.397
12, 2, 2.34081,0.23059,1.742,2.198,2.338,2.4605,3.469
12, 3, 6.30682,0.278327,5.344,6.187,6.3485,6.485,6.765
12, 4, 7.77564,0.221674,7.203,7.641,7.8015,7.9205,8.331
12, 5, 8.62745,0.209019,8.001,8.488,8.642,8.7705,9.22
12, 6, 9.6333,0.188349,9.142,9.508,9.636,9.76,10.172
12, 7, 10.8332,0.190671,10.42,10.712,10.8295,10.9715,11.268
12, 8, 11.6003,0.224761,11.112,11.4335,11.615,11.77,12.117
12, 9, 12.6567,0.207288,12.006,12.528,12.6715,12.811,13.09
12, 10, 13.4998,0.185274,13.091,13.361,13.4935,13.625,13.933
12, 11, 14.3515,0.218558,13.848,14.188,14.3475,14.504,14.942
12, 12, 15.2989,0.239645,14.585,15.156,15.322,15.45,15.948
12, 13, 16.1725,0.220588,15.59,16.029,16.1985,16.3245,16.758
12, 14, 17.1228,0.219315,16.64,16.963,17.1365,17.279,17.699
12, 15, 18.2505,0.234616,17.626,18.123,18.277,18.4285,18.764
12, 16, 19.0093,0.2304,18.584,18.8405,19.017,19.1745,19.639
12, 17, 20.0932,0.256641,19.187,19.916,20.043,20.2785,20.676
12, 18, 20.9168,0.20528,20.303,20.778,20.918,21.0495,21.404
12, 19, 21.8406,0.206756,21.416,21.6725,21.8395,21.9895,22.325
12, 20, 22.8029,0.226887,22.369,22.639,22.791,22.9805,23.307
13, 1, 1.85491,0.177947,1.484,1.751,1.853,1.9865,2.274
13, 2, 8.38487,0.178326,7.821,8.2775,8.39,8.502,8.873
13, 3, 9.96134,0.226352,9.4,9.799,9.9505,10.1035,10.655
13, 4, 11.1416,0.224563,10.522,11.0135,11.1215,11.303,11.608
13, 5, 12.3252,0.226747,11.775,12.169,12.3265,12.481,12.894
13, 6, 13.4916,0.204198,12.863,13.3725,13.487,13.645,13.87
13, 7, 14.7017,0.216148,14.178,14.56,14.7225,14.8375,15.161
13, 8, 15.9468,0.190512,15.418,15.8105,15.9525,16.0945,16.375
13, 9, 17.1322,0.204924,16.466,16.9985,17.123,17.2575,17.662
13, 10, 18.2496,0.221113,17.699,18.091,18.2625,18.4235,18.748
13, 11, 19.5127,0.196059,19.002,19.408,19.502,19.585,20.192
13, 12, 20.7048,0.214386,20.098,20.597,20.6945,20.8755,21.179
13, 13, 21.8856,0.227941,21.375,21.7145,21.878,22.0235,22.518
13, 14, 23.0795,0.222252,22.535,22.9335,23.0645,23.209,23.68
13, 15, 24.2504,0.255944,23.617,24.0905,24.264,24.4065,24.921
13, 16, 25.3955,0.264235,24.796,25.212,25.4185,25.5805,26.007
13, 17, 26.5454,0.236784,26.023,26.3685,26.555,26.7055,27.154
13, 18, 27.8484,0.259213,27.241,27.674,27.8465,28.0215,28.699
13, 19, 28.9451,0.254575,28.349,28.739,28.928,29.161,29.636
13, 20, 30.1511,0.267459,29.501,29.961,30.1565,30.3685,30.723
14, 1, 1.89504,0.181251,1.499,1.756,1.8945,2.027,2.347
14, 2, 2.32807,0.218637,1.905,2.163,2.3095,2.46,2.861
14, 3, 9.42184,0.235995,8.862,9.274,9.3885,9.5945,10.093
14, 4, 10.6064,0.249255,9.899,10.419,10.6215,10.784,11.079
14, 5, 12.0292,0.225397,11.505,11.8425,12.027,12.2145,12.516
14, 6, 13.0703,0.215698,12.586,12.926,13.0565,13.2115,13.71
